:START_ID(COUNTRY_ID)|:END_ID(CONTINENT_ID)|:TYPE
0|1454|IS_PART_OF
1|1454|IS_PART_OF
2|1455|IS_PART_OF
3|1456|IS_PART_OF
4|1454|IS_PART_OF
5|1457|IS_PART_OF
6|1456|IS_PART_OF
7|1456|IS_PART_OF
8|1455|IS_PART_OF
9|1456|IS_PART_OF
10|1456|IS_PART_OF
11|1458|IS_PART_OF
12|1458|IS_PART_OF
13|1456|IS_PART_OF
14|1456|IS_PART_OF
15|1458|IS_PART_OF
16|1454|IS_PART_OF
17|1454|IS_PART_OF
18|1454|IS_PART_OF
19|1454|IS_PART_OF
20|1456|IS_PART_OF
21|1455|IS_PART_OF
22|1455|IS_PART_OF
23|1456|IS_PART_OF
24|1456|IS_PART_OF
25|1455|IS_PART_OF
26|1455|IS_PART_OF
27|1454|IS_PART_OF
28|1455|IS_PART_OF
29|1459|IS_PART_OF
30|1458|IS_PART_OF
31|1456|IS_PART_OF
32|1456|IS_PART_OF
33|1454|IS_PART_OF
34|1458|IS_PART_OF
35|1459|IS_PART_OF
36|1458|IS_PART_OF
37|1456|IS_PART_OF
38|1456|IS_PART_OF
39|1455|IS_PART_OF
40|1456|IS_PART_OF
41|1454|IS_PART_OF
42|1456|IS_PART_OF
43|1456|IS_PART_OF
44|1455|IS_PART_OF
45|1456|IS_PART_OF
46|1454|IS_PART_OF
47|1457|IS_PART_OF
48|1456|IS_PART_OF
49|1457|IS_PART_OF
50|1456|IS_PART_OF
51|1454|IS_PART_OF
52|1454|IS_PART_OF
53|1458|IS_PART_OF
54|1454|IS_PART_OF
55|1454|IS_PART_OF
56|1456|IS_PART_OF
57|1458|IS_PART_OF
58|1454|IS_PART_OF
59|1454|IS_PART_OF
60|1455|IS_PART_OF
61|1457|IS_PART_OF
62|1459|IS_PART_OF
63|1456|IS_PART_OF
64|1456|IS_PART_OF
65|1454|IS_PART_OF
66|1458|IS_PART_OF
67|1454|IS_PART_OF
68|1455|IS_PART_OF
69|1457|IS_PART_OF
70|1457|IS_PART_OF
71|1458|IS_PART_OF
72|1456|IS_PART_OF
73|1455|IS_PART_OF
74|1455|IS_PART_OF
75|1456|IS_PART_OF
76|1455|IS_PART_OF
77|1456|IS_PART_OF
78|1456|IS_PART_OF
79|1456|IS_PART_OF
80|1454|IS_PART_OF
81|1456|IS_PART_OF
82|1454|IS_PART_OF
83|1455|IS_PART_OF
84|1455|IS_PART_OF
85|1454|IS_PART_OF
86|1456|IS_PART_OF
87|1455|IS_PART_OF
88|1454|IS_PART_OF
89|1456|IS_PART_OF
90|1455|IS_PART_OF
91|1457|IS_PART_OF
92|1456|IS_PART_OF
93|1456|IS_PART_OF
94|1454|IS_PART_OF
95|1456|IS_PART_OF
96|1455|IS_PART_OF
97|1455|IS_PART_OF
98|1454|IS_PART_OF
99|1456|IS_PART_OF
100|1455|IS_PART_OF
101|1456|IS_PART_OF
102|1455|IS_PART_OF
103|1454|IS_PART_OF
104|1455|IS_PART_OF
105|1454|IS_PART_OF
106|1456|IS_PART_OF
107|1456|IS_PART_OF
108|1457|IS_PART_OF
109|1454|IS_PART_OF
110|1455|IS_PART_OF
